Word,e,t,a,o,i,th,he,in,er,an,Frequency,Char_repitions
atoll,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00023671539749968578,0.3333333333333333
atone,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0003958517991801467,0.0
attic,0.0,0.6666666666666666,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.001990612019679157,0.3333333333333333
audio,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.004935605794680372,0.0
audit,0.0,0.3333333333333333,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.00682777642441756,0.0
augur,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012755170732254025,0.3333333333333333
aunty,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006369822614825526,0.0
avail,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0018450604327762958,0.3333333333333333
avert,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0008116441657659854,0.0
avian,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0008359027635831288,0.3333333333333333
avoid,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.03351223402327535,0.0
await,0.0,0.3333333333333333,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.001801394956705438,0.3333333333333333
awake,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008040706315274733,0.3333333333333333
award,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00886549864105761,0.3333333333333333
aware,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03118340863282958,0.3333333333333333
awash,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004016738626562611,0.3333333333333333
awful,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007652568750200438,0.0
awoke,0.3333333333333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.002519449452092884,0.0
axial,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0033490934974391897,0.3333333333333333
axiom,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0009571957526688461,0.0
axion,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.863060312356616e-05,0.0
azure,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016024744546048616,0.0
bacon,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0051781917728518055,0.0
badge,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018935776284105827,0.0
badly,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008768464249789035,0.0
bagel,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027164777835637227,0.0
baggy,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005253927115236928,0.3333333333333333
baker,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0066822248375147,0.0
baler,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.639335442505206e-05,0.0
balmy,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003075505031257446,0.0
banal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000583613346284837,0.3333333333333333
banjo,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0003914852515730609,0.0
barge,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010445267048105624,0.0
baron,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0038779309298529164,0.0
basal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026844079172494593,0.3333333333333333
basic,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.049381238371337906,0.0
